label,id,title,artist,creator,total_length,star_rating,bpm,ar,cs,hit_length,od,genre,circles,sliders,spinners,slider_ratio,base_bpm,total_notes,mean_distance,std_distance,stream_density,kiai_note_ratio,kiai_mean_dist,kiai_note_count,interval_variance,mean_interval_ms,notes_per_second,mean_velocity,mean_sliders_length,rhythm_complexity,burst_density,speed_index,alt_ratio,interval_variance_log,ar_od_ratio
aim_control_maps,4093542,Avantgarde,Raimukun,Weoweet,153,6.89728,200.0,9.6,4.0,134,9.4,electronic,554.0,359.0,4.0,0.39,200.0,917.0,104.57,104.75,0.48,0.0,0.0,0.0,139828.79,155.9,6.42,0.67,211.84,0.01,0.05,96.0,0.16,11.85,0
aim_control_maps,4093543,Avantgarde,Raimukun,Weoweet,153,7.09707,200.0,9.6,4.0,134,9.4,electronic,554.0,359.0,4.0,0.39,200.0,917.0,106.12,104.78,0.48,0.0,0.0,0.0,139828.79,155.9,6.42,0.68,211.84,0.01,0.05,96.0,0.16,11.85,0
aim_control_maps,4186126,Badass GigaForte,cosMo@BousouP,DeviousPanda,186,7.55772,207.0,9.6,3.9,181,9.0,jazz,746.0,469.0,0.0,0.39,207.0,1215.0,140.07,100.76,0.33,0.33,164.11,396.0,17689.47,152.45,6.57,0.92,209.42,0.02,0.03,68.31,0.14,9.78,0
aim_control_maps,4322543,azure iris,Aoi,Tycani,125,7.65151,201.0,9.7,4.0,116,9.7,electronic,419.0,300.0,2.0,0.42,201.0,721.0,131.76,101.31,0.44,0.31,152.82,221.0,126891.66,172.47,5.81,0.76,232.61,0.03,0.06,88.44,0.18,11.75,0
aim_control_maps,4331690,Bare Hands,PUP,-JI-,113,7.52667,173.0,9.0,5.2,113,8.0,unspecified,246.0,248.0,0.0,0.5,173.0,494.0,162.61,118.21,0.18,0.0,0.0,0.0,23559.9,230.18,4.35,0.71,316.9,0.04,0.04,31.14,0.14,10.07,0
aim_control_maps,4393036,Burning Star,LV.4,ktgster,166,7.49581,175.0,9.8,4.0,155,9.6,electronic,1040.0,371.0,1.0,0.26,175.0,1412.0,86.03,51.92,0.73,0.41,100.69,583.0,85408.86,117.67,8.5,0.73,176.31,0.01,0.01,127.75,0.2,11.36,0
aim_control_maps,4425495,Bumble Bee (Speed Up Ver.),Bambee,-Tynamo,158,7.864,165.6,9.8,4.1,141,9.6,pop,869.0,256.0,4.0,0.23,165.6,1129.0,119.39,83.84,0.74,0.65,120.79,735.0,132237.21,140.05,7.15,0.85,208.85,0.02,0.03,122.54,0.12,11.79,0
aim_control_maps,4432931,Bismuth,Ludicin,Ilay,299,8.22238,240.0,9.8,4.0,291,9.6,electronic,994.0,667.0,3.0,0.4,240.0,1664.0,125.16,105.42,0.24,0.15,123.32,243.0,200061.16,179.23,5.58,0.7,271.37,0.02,0.02,57.6,0.15,12.21,0
aim_control_maps,4437787,Bumble Bee (Speed Up Ver.),Bambee,-Tynamo,157,7.88354,166.0,9.8,4.1,140,9.6,pop,869.0,256.0,4.0,0.23,166.0,1129.0,119.39,83.84,0.74,0.65,120.68,736.0,131585.75,139.71,7.16,0.85,208.24,0.01,0.03,122.84,0.12,11.79,0
aim_control_maps,4440910,Bismuth,Ludicin,Ilay,267,7.52941,240.0,9.5,4.0,222,9.2,electronic,843.0,505.0,0.0,0.37,240.0,1348.0,114.35,98.2,0.2,0.17,100.33,229.0,386398.43,176.36,5.67,0.65,278.25,0.03,0.03,48.0,0.13,12.86,0
aim_control_maps,4490685,AVALON,Team:SASAKURATION,Plasma,156,8.29489,200.0,9.7,4.0,152,9.5,unspecified,675.0,207.0,2.0,0.23,200.0,884.0,160.19,116.61,0.42,0.0,0.0,0.0,146199.07,173.27,5.78,0.92,313.88,0.03,0.03,84.0,0.15,11.89,0
aim_control_maps,4499413,Banshee Strikes,Kiichi,Morrighan,221,7.33641,220.0,9.0,4.3,220,9.0,rock,971.0,381.0,0.0,0.28,220.0,1352.0,145.3,98.93,0.19,0.46,157.02,624.0,7918.83,163.46,6.12,0.89,250.98,0.01,0.06,41.8,0.13,8.98,0
aim_control_maps,4520566,Batsu to Batsu,Kano,Sparhten,200,7.24519,150.0,9.8,4.0,188,9.0,unspecified,623.0,400.0,1.0,0.39,149.7,1024.0,131.12,105.77,0.5,0.29,157.56,292.0,16574.37,184.02,5.44,0.71,268.04,0.02,0.08,74.85,0.14,9.72,0
aim_control_maps,4550807,BIBBIDIBA,Hoshimachi Suisei,Amateurre,167,6.1785,120.0,9.4,4.0,162,9.0,pop,347.0,456.0,1.0,0.57,120.0,804.0,139.72,95.12,0.3,0.0,0.0,0.0,18585.67,202.05,4.96,0.69,260.25,0.03,0.03,36.0,0.21,9.83,0
aim_control_maps,4667366,At the Speed of Light,Dimrain47,Feurio90,121,8.3987,162.0,9.8,4.3,115,9.6,unspecified,806.0,84.0,5.0,0.09,162.0,895.0,108.64,83.46,0.8,0.0,0.0,0.0,19073.62,129.26,7.75,0.84,271.24,0.02,0.01,129.6,0.07,9.86,0
aim_control_maps,720590,Clarity (feat. Foxes) (kamome sano remix),Zedd,Broccoly,309,5.86214,182.0,9.2,4.2,298,8.5,electronic,930.0,350.0,2.0,0.27,182.0,1282.0,139.14,99.74,0.27,0.3,145.84,387.0,123035.28,238.82,4.19,0.58,386.17,0.02,0.03,49.14,0.15,11.72,0
aim_control_maps,1159096,Dans la mer de son,Camellia,Akali,340,7.07187,175.0,9.7,5.0,299,9.0,unspecified,1238.0,615.0,2.0,0.33,175.0,1855.0,105.64,80.87,0.52,0.0,0.0,0.0,17493.9,161.26,6.2,0.66,267.33,0.02,0.07,91.0,0.1,9.77,0
aim_control_maps,1294898,CO5M1C R4ILR0AD,kanone,Akali,134,7.8284,155.0,9.8,4.0,133,9.5,unspecified,569.0,287.0,1.0,0.33,155.0,857.0,138.74,102.06,0.61,0.45,145.85,386.0,20461.75,155.11,6.45,0.89,248.56,0.03,0.05,94.55,0.11,9.93,0
aim_control_maps,2038186,Character,Co shu Nie,Gillstar,149,7.04804,180.0,9.5,4.0,136,8.8,rock,456.0,305.0,2.0,0.4,175.0,763.0,120.77,97.39,0.45,0.56,132.55,424.0,182491.53,189.99,5.27,0.64,273.54,0.05,0.07,78.75,0.13,12.11,0
aim_control_maps,2089089,CO5M1C R4ILR0AD,kanone,Moecho,134,7.16002,155.0,9.5,5.0,133,8.0,unspecified,502.0,300.0,0.0,0.37,155.0,802.0,114.08,82.44,0.51,0.68,111.95,547.0,41868.89,166.0,6.03,0.69,246.63,0.02,0.03,79.05,0.1,10.64,0
aim_control_maps,2107209,Crazy Crazy (feat. Charli XCX & Kyary Pamyu Pamyu),Yasutaka Nakata,VINXIS,223,5.60731,125.0,9.5,2.0,222,8.0,electronic,198.0,547.0,0.0,0.73,125.0,745.0,221.92,104.58,0.2,0.44,260.85,325.0,35262.41,298.55,3.35,0.74,346.37,0.02,0.07,25.0,0.2,10.47,0
aim_control_maps,2288871,Churu Churu,Sound.AVE,Qnio,156,6.333,175.0,8.0,3.8,156,8.0,video_game,641.0,221.0,0.0,0.26,175.0,862.0,160.1,95.28,0.21,0.26,219.83,223.0,6174.39,180.77,5.54,0.89,272.64,0.01,0.01,36.75,0.17,8.73,0
aim_control_maps,2332178,Cardinal Rave,TAROLIN feat. Katakiri Rekka,Yusomi,241,7.53003,160.0,9.7,4.5,240,8.8,electronic,948.0,529.0,0.0,0.36,160.0,1477.0,113.25,92.91,0.48,0.25,113.57,372.0,15195.17,162.6,6.15,0.7,245.14,0.02,0.04,76.8,0.1,9.63,0
aim_control_maps,2452435,"Chirei ""Gensoukyou Engi Fuujirareshi Youkai-tachi no Page""",Diao Ye Zong feat. Meramipop,over_loadcode,352,7.04242,155.0,9.6,4.0,346,9.0,rock,1193.0,849.0,1.0,0.42,155.0,2043.0,142.17,110.43,0.51,0.39,178.21,788.0,31302.11,171.86,5.82,0.83,243.68,0.01,0.05,79.05,0.13,10.35,0
aim_control_maps,2460797,Character,Co shu Nie,0ugi,149,7.56548,180.0,9.8,4.0,144,9.2,classical,428.0,345.0,1.0,0.45,175.0,774.0,174.03,107.22,0.42,0.57,178.09,444.0,36550.35,187.29,5.35,0.93,268.01,0.06,0.07,73.5,0.12,10.51,0
aim_control_maps,2507141,d e a t h p i a n o ~for four pianos~,xi,Riana,168,6.95118,170.0,9.4,4.5,161,9.0,classical,1068.0,141.0,0.0,0.12,170.0,1209.0,64.04,54.27,0.42,0.27,74.49,329.0,39355.32,138.16,7.24,0.46,307.15,0.06,0.02,71.4,0.07,10.58,0
aim_control_maps,2569192,comet,Hoshimachi Suisei,jordanlr7,242,7.80758,162.0,9.8,4.0,240,8.5,pop,807.0,663.0,2.0,0.45,162.0,1472.0,149.09,86.29,0.47,0.0,0.0,0.0,8968.72,162.78,6.15,0.92,220.08,0.02,0.04,76.14,0.11,9.1,0
aim_control_maps,2635238,Compute It With Some Devilish Alcoholic Steampunk Engines,Camellia,OneShotFox,256,6.61096,165.0,9.5,4.0,236,9.0,electronic,755.0,665.0,11.0,0.46,165.0,1431.0,126.94,103.65,0.5,0.23,144.11,334.0,207467.78,176.16,5.68,0.72,216.39,0.02,0.04,82.5,0.18,12.24,0
aim_control_maps,2648002,Compute It With Some Devilish Alcoholic Steampunk Engines,Camellia,OneShotFox,256,4.93219,165.0,9.0,3.8,237,8.0,electronic,657.0,556.0,11.0,0.45,165.0,1224.0,97.65,70.82,0.36,0.21,107.57,263.0,241372.52,205.98,4.86,0.47,245.73,0.02,0.06,59.4,0.18,12.39,0
aim_control_maps,2660097,Compute It With Some Devilish Alcoholic Steampunk Engines,Camellia,DeRandom Otaku,256,7.01241,165.0,9.5,4.0,252,9.0,electronic,980.0,669.0,4.0,0.4,165.0,1653.0,123.83,109.81,0.54,0.0,0.0,0.0,20813.26,152.49,6.56,0.81,213.76,0.02,0.03,89.1,0.18,9.94,0
aim_control_maps,2731544,Day by day (PSYQUI Remix),lapix,JeZag,232,6.28327,170.0,9.5,4.5,213,8.5,electronic,740.0,533.0,1.0,0.42,170.0,1274.0,101.92,79.02,0.43,0.28,97.8,354.0,73102.14,173.0,5.78,0.59,217.37,0.02,0.03,73.1,0.15,11.2,0
aim_control_maps,2770057,Compute It With Some Devilish Alcoholic Steampunk Engines,Camellia,DeRandom Otaku,256,5.1259,165.0,9.0,4.2,240,8.0,electronic,605.0,549.0,3.0,0.47,165.0,1157.0,103.76,75.25,0.36,0.0,0.0,0.0,204128.75,217.91,4.59,0.48,289.43,0.02,0.1,59.4,0.17,12.23,0
aim_control_maps,3066436,Codename,Billain,winber1,267,7.22331,172.0,9.8,4.4,223,8.6,electronic,756.0,615.0,0.0,0.45,172.0,1371.0,121.66,95.53,0.45,0.0,0.0,0.0,9218.65,162.96,6.14,0.75,227.9,0.01,0.05,77.4,0.19,9.13,0
aim_control_maps,3216805,City Escape - Modern,Crush 40,Hobbes2,210,7.14512,270.0,9.6,4.0,204,9.3,rock,653.0,450.0,2.0,0.41,255.0,1105.0,163.36,86.98,0.0,0.33,178.66,366.0,38981.26,188.62,5.31,0.87,275.9,0.07,0.0,0.0,0.15,10.57,0
aim_control_maps,3293035,Danger Zone,Laur,Nattu,197,7.34296,150.0,9.8,4.3,196,9.0,electronic,600.0,474.0,0.0,0.44,149.87,1074.0,142.78,88.98,0.49,0.27,156.99,287.0,15074.84,181.93,5.5,0.78,266.92,0.02,0.03,73.44,0.18,9.62,0
aim_control_maps,3306030,Dance Away,iNID,Pennek,145,6.07252,150.0,8.0,4.8,144,9.0,video_game,725.0,87.0,4.0,0.11,150.0,816.0,107.69,63.79,0.5,0.51,91.06,415.0,47157.76,177.67,5.64,0.61,289.66,0.01,0.01,75.0,0.2,10.76,0
aim_control_maps,3333734,Chariot (Extended Mix),USAO,Realazy,211,5.10312,128.0,8.7,4.0,189,7.5,electronic,498.0,405.0,0.0,0.45,128.0,903.0,128.88,99.68,0.48,0.0,0.0,0.0,81777.09,216.71,4.62,0.59,319.33,0.02,0.06,61.44,0.18,11.31,0
aim_control_maps,3349154,CONTRACT,Suzaku,Pennek,101,8.52082,180.0,10.0,4.3,91,9.0,electronic,669.0,63.0,3.0,0.09,180.0,735.0,117.89,92.07,0.73,0.35,80.57,258.0,169864.3,138.17,7.25,0.85,264.54,0.03,0.01,131.4,0.03,12.04,0
aim_control_maps,3667849,Crazy Jackpot,Hommarju,Phynta,115,7.50991,170.0,9.8,4.2,113,9.3,electronic,703.0,132.0,4.0,0.16,170.0,839.0,105.19,95.8,0.71,0.38,107.21,318.0,12160.55,134.77,7.43,0.78,231.94,0.02,0.05,120.7,0.07,9.41,0
aim_control_maps,3691456,Darekare Scramble,halca,OnLoong,261,8.80784,300.0,10.0,4.2,257,10.0,rock,905.0,606.0,0.0,0.4,300.0,1511.0,198.77,93.77,0.0,0.36,245.5,540.0,22849.91,172.58,5.8,1.15,256.25,0.01,0.0,0.0,0.18,10.04,0
aim_control_maps,3702327,Darekare Scramble (TV Size),halca,Amamya,89,7.71476,150.0,10.0,3.6,83,9.6,anime,248.0,235.0,0.0,0.49,150.0,483.0,187.56,105.17,0.52,0.0,0.0,1.0,75756.13,181.74,5.51,1.03,234.19,0.03,0.05,78.0,0.21,11.24,0
